contents,postimes,likes,comments,shares
美國亞特蘭大按摩店槍擊案將亞裔移民按摩師推到了風口浪尖。由於美國的按摩行業龍蛇混雜，正規的亞裔按摩店長久以來被污名化、被視作性交易場所。兩位華人女性按摩師向BBC訴說她們遭遇的污名與騷擾。,3月31日下午7:01,389,54,43
台灣與帛琉（帕勞）將於4月1日開啓亞太地區首個「旅遊泡泡」。帛琉總統惠恕仁28日率團訪問台灣，美國駐帛琉大使倪約翰（John Hennessey-Niland）亦罕有隨行。這是自1979年台美斷交以來，首次有美國駐外大使訪問台灣。,3月31日下午6:22,433,44,35
世衛組織週二發佈了中國和國際科學家團隊對於新冠病毒源頭的研究報告，但這份備受關注的報告卻引發了外界質疑，甚至連該組織的領導人譚德塞也意外地公開表達了擔憂，承認團隊在獲取原始數據時遇到困難。https://bbc.in/3ua54US,3月31日下午4:20,97,71,5
中國科技公司小米宣佈投放100億美元發展電動車業務，引起市場熱議之外，其發表的公司新標誌，也在中國大陸網絡上掀起廣泛討論。小米創辦人雷軍在產品發佈會上，花了20分鐘介紹新標誌。從表面上看，該標誌（圖左）跟舊版（圖右）極為相似，只是四角變成曲線。該公司指，新標誌由日本設計中心（NDC）董事長、武藏野美術大學教授原研哉設計。…… 查看更多,3月31日下午3:00,2235,454,185
中央社報道，台灣前電視節目主持人彭文正等人，因指控台灣總統蔡英文偽造學歷，遭蔡英文提告。台北地檢署今天（31日）依加重誹謗罪起訴彭文正，同案被告賀德芬、林環牆則不獲起訴。台大法律系名譽教授賀德芬2019年8月召開記者會，指蔡英文偽造論文及證書，並公布台裔旅美學者林環牆的報告，指她的學位證書是「贗品」。時值台灣大選於2020年1月舉行之前。檢察官經調查後，認定蔡英文確實完成相關論文、通過口試並取得博士學位。…… 查看更多,3月31日下午2:30,2619,814,87
一位BBC記者以技術人員身份在實驗室工作，拍攝到工作人員偷工減料，並以可能導致污染的方式處理樣本。這意味著，一些經過英國全國醫療保健系統（National Health Service，NHS）檢測及追蹤系統（Test and Trace）進行檢測的人，可能收到錯誤的結果。,3月31日下午2:00,409,63,46
一度成為世界首富的亞馬遜創辦人傑夫·貝佐斯（Jeff Bezos），早在三歲那年就已經會拆解嬰兒床了。原來，「三歲定八十」是有根據的。,3月31日下午1:00,294,33,81
這是一則復活節彩蛋警告。家中有小狗的主人請謹慎對待尋找彩蛋的活動。英國肯特郡一隻兩歲大的吉娃娃貝利（Bailey），就差點命喪復活節彩蛋。貝利嗅到枕頭底下藏有一顆牛奶巧克力彩蛋，還偷吃了！直到主人特雷西（Tracy）注意到貝利昏昏欲睡，一反常態，並且發現被撕碎的彩蛋錫箔紙，才明白大事不妙。…… 查看更多,3月31日下午12:00,426,99,40
2020年伊始，中國經濟規模也達到美國的七成左右。突如其來的新冠疫情，使中國經濟迅速陷入冰凍。出乎意料的是，這塊中國經濟道路上的絆腳石，在年底回看時，卻成了墊腳石。,3月31日上午11:01,435,330,38
能做皮革的蘑菇，會發光的蘑菇……蘑菇有多神奇？BBC為你梳理了五個有關蘑菇和真菌的超酷趣聞和妙用。,3月31日上午10:00,39,0,3
